Big Star,#1 Record,1972,3.8,7375,Power Pop:,Folk Pop:,melodic:romantic:bittersweet:uplifting:summer:playful:optimistic:love:vocals:sentimental:warm:passionate:mellow:melancholic:,36:56
Tristan Perich,1-Bit Symphony,2015,3.39,311,Bit Music:Progressive Electronic:Post-Minimalism:,Post-Minimalism:Glitch:,repetitive:minimalistic:noisy:melodic:hypnotic:dense:,47:11
Melt Yourself Down,100% Yes,2020,3.32,668,Dance-Punk:Art Punk:Afrobeat:,Jazz-Rock:Post-Punk:Synth Punk:,avant-garde:energetic:vocals:eclectic:angry:serious:rhythmic:aggressive:protest:,
Jorane,16 mm,2000,3.55,71,Chamber Pop:Experimental:,Art Pop:Chamber Jazz:Ethereal Wave:Psychedelic Folk:Avant-Folk:Sound Poetry:,vocals:,
Whourkr,4247 Snare Drums,2012,3.19,217,Breakcore:Cybergrind:Death Metal:,Drum and Bass:Avant-Garde Metal:,aggressive:manic:surreal:mechanical:technical:vocals:chaotic:abstract:cryptic:noisy:rhythmic:sampling:avant-garde:futuristic:dissonant:heavy:,
Gustav Leonhardt,6 English Suites BWV 806-811,1995,3.82,68,Baroque Music:,,,96:35
Sugarhill Gang,8th Wonder,1981,3.22,190,Disco Rap:East Coast Hip Hop:Funk:,Disco:Soul:,energetic:boastful:party:playful:,36:34
Rainer Maria,A Better Version of Me,2001,3.45,274,Indie Rock:Emo:,Midwest Emo:,,42:01
Ronnie Von,A misteriosa luta do Reino de Parassempre contra o Império do Nuncamais,1969,3.35,101,Psychedelic Rock:Tropicália:,Psychedelic Pop:Baroque Pop:Chanson:,surreal:psychedelic:philosophical:romantic:space:summer:love:passionate:nature:lush:vocals:,36:18
Procol Harum,A Salty Dog,1969,3.68,1777,Progressive Rock:,Progressive Pop:Symphonic Prog:Blues Rock:Art Rock:,vocals:melodic:bittersweet:progressive:psychedelic:,40:35
Sparks,"A Steady Drip, Drip, Drip",2020,3.33,661,Art Pop:,Art Rock:Progressive Pop:Chamber Pop:Synthpop:,quirky:vocals:melodic:sarcastic:progressive:playful:,
Bloc Party,A Weekend in the City,2007,3.1,4461,Indie Rock:Post-Punk Revival:,Alternative Rock:,urban:conscious:anxious:political:romantic:energetic:vocals:angry:rhythmic:serious:album:nocturnal:melancholic:passionate:LGBT:pessimistic:anthemic:,51:27
Perigeo,Abbiamo tutti un blues da piangere,1973,3.7,289,Jazz Fusion:,Progressive Rock:Canterbury Scene:,progressive:improvisation:instrumental:playful:technical:passionate:melodic:atmospheric:vocals:complex:signatures:,44:05
Oneida,Absolute II,2011,2.73,151,Drone:Experimental:,,,40:16
Meat Beat Manifesto,Actual Sounds + Voices,1998,3.55,368,Breakbeat:,Big Beat:Illbient:Techno:Acid Techno:Dub:,urban:dark:vocals:sampling:energetic:psychedelic:rain:rhythmic:,72:57
Sister Iodine,ADN 115,1994,3.41,107,Noise Rock:Experimental Rock:No Wave:Noise:,,,33:55
Rykarda Parasol,Against the Sun,2013,3.44,119,Contemporary Folk:Singer/Songwriter:Gothic Country:,Gothic Country:,,
Angels of Light,Akron/Family &amp; Angels of Light,2005,3.33,831,Freak Folk:Folk Rock:,Avant-Folk:Psychedelic Folk:Alt-Country:Experimental Rock:,vocals:passionate:,54:35
Between the Buried and Me,Alaska,2005,3.51,3263,Metalcore:Progressive Metal:,Mathcore:Technical Death Metal:,technical:energetic:aggressive:vocals:progressive:signatures:complex:heavy:chaotic:eclectic:passionate:,53:50
2Pac,All Eyez on Me,1996,3.62,7305,West Coast Hip Hop:Gangsta Rap:G-Funk:,Pop Rap:G-Funk:,crime:urban:boastful:violence:aggressive:sampling:vocals:death:rhythmic:vulgar:energetic:rebellious:party:passionate:sexual:hedonistic:introspective:angry:love:conscious:,132:18
Vatista,All of These Rose Petals,2021,3.39,304,Atmospheric Drum and Bass:,Hardcore Breaks:Breakcore:Nightcore:,ethereal:winter:atmospheric:soothing:bittersweet:vocals:repetitive:sampling:melodic:,22:17
Thuja,All Strange Beasts of the Past,2002,3.35,130,Free Folk:,Drone:Field Recordings:Avant-Folk:,,39:46
Elvis Costello &amp; The Attractions,All This Useless Beauty,1996,3.36,664,Pop Rock:Singer/Songwriter:,Baroque Pop:,melodic:,48:14
Atoms for Peace,Amok,2013,3.23,4521,Glitch Pop:Art Pop:,IDM:Experimental Rock:,rhythmic:mechanical:melancholic:atmospheric:vocals:abstract:cold:,44:41
Marina,Ancient Dreams in a Modern Land,2021,3.18,1650,Pop:,Pop Rock:Dance-Pop:Singer/Songwriter:Electropop:New Wave:Alt-Pop:,vocals:conscious:political:ballad:lush:breakup:introspective:existential:love:passionate:melodic:,
William Elliott Whitmore,Animals in the Dark,2009,3.27,161,Alt-Country:,Americana:,,37:12
Grateful Dead,Anthem of the Sun,1968,3.52,3182,Psychedelic Rock:Jam Band:,Acid Rock:Experimental Rock:,psychedelic:improvisation:surreal:drugs:energetic:warm:vocals:mysterious:mellow:raw:,39:07
Foals,Antidotes,2008,3.43,4517,Dance-Punk:Indie Rock:Math Rock:,Post-Punk Revival:,energetic:rhythmic:vocals:technical:anxious:cryptic:complex:summer:quirky:playful:melodic:bittersweet:,46:48
Mitochondrion,Archaeaeon,2008,3.49,721,Technical Death Metal:,Black Metal:,abstract:suspenseful:heavy:dark:technical:occult:chaotic:ominous:epic:dense:aggressive:dissonant:complex:vocals:album:violence:raw:atmospheric:satanic:,71:31
Darkthrone,Arctic Thunder,2016,3.25,1489,Black Metal:Heavy Metal:,Doom Metal:,misanthropic:heavy:vocals:forest:dark:sombre:nocturnal:nature:cold:infernal:,39:23
Aretha Franklin,Aretha,1986,2.88,152,Pop Soul:Dance-Pop:,Contemporary R&amp;B:Adult Contemporary:,,45:23
Against Me!,As the Eternal Cowboy,2003,3.54,1316,Punk Rock:,,angry:anxious:protest:pessimistic:nihilistic:breakup:melodic:vocals:energetic:passionate:,25:02
Whitehouse,Asceticists 2006,2006,3.44,484,Power Electronics:,,aggressive:dark:misanthropic:vulgar:heavy:dissonant:noisy:vocals:rhythmic:hateful:mechanical:sexual:,28:44
William Elliott Whitmore,Ashes to Dust,2005,3.65,137,Alt-Country:Singer/Songwriter:,Americana:,,34:55
Blind Guardian,At the Edge of Time,2010,3.57,1903,Power Metal:,Symphonic Metal:Progressive Metal:,vocals:epic:fantasy:triumphant:progressive:melodic:energetic:medieval:,63:58
